id;name;type;fgc_guarantee;active;minimum_investment;financial_risk;daily_liquidity;indexer_profitability;type_profitability;value_profitability;redemption_period;net_profitability;gross_income;distributor_name;issuer_name;risk;thumbnail;financial_risk_original;cdi_yearly;ipca_12
4170;CDB PicPay Pré-Fixado 15,33%;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.33;14/03/2031;13.63;15.33;Bradesco;PicPay;1;https://investidor10.com.br/storage/companies/6723e5453f21d.jpg;LOW;11.13;5.06
3362;CDB Banco Pine Pré-Fixado 17,11%;CDB;1;1;1437.09;Baixo;No Vencimento;CDI;PRE_FIXED;17.11;10/10/2025;13.60;17.11;Nubank;Banco Pine;1;https://investidor10.com.br/storage/companies/66d9a9b5e9301.jpg;LOW;11.13;5.06
3851;CDB Banco C6 Consignado Pré-fixado 15,50%;CDB;1;1;100.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.50;25/02/2029;13.56;15.50;C6 Bank;Banco C6;1;https://investidor10.com.br/storage/companies/6723e56a98470.jpg;LOW;11.13;5.06
2705;CDB Banco Pine Pré-fixado 15,60%;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.60;27/01/2028;13.52;15.60;Nubank;Banco Pine;1;https://investidor10.com.br/storage/companies/66d9a9b5e9301.jpg;LOW;11.13;5.06
4172;CDB PicPay Pré-Fixado 15,27%;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.27;14/03/2030;13.47;15.27;Bradesco;PicPay;1;https://investidor10.com.br/storage/companies/6723e5453f21d.jpg;LOW;11.13;5.06
4030;CDB Banco Pine Pré-Fixado 15,40%;CDB;1;1;1000.57;Baixo;No Vencimento;CDI;PRE_FIXED;15.40;06/09/2028;13.42;15.40;Banco Inter;Banco Pine;1;https://investidor10.com.br/storage/companies/66d9a9b5e9301.jpg;LOW;11.13;5.06
3852;CDB Banco C6 Consignado Pré-fixado 15,45%;CDB;1;1;100.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.45;25/02/2028;13.40;15.45;C6 Bank;Banco C6;1;https://investidor10.com.br/storage/companies/6723e56a98470.jpg;LOW;11.13;5.06
3119;CDB PicPay Pré-fixado 15,44%;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.44;03/02/2028;13.38;15.44;BTG Pactual;PicPay;1;https://investidor10.com.br/storage/companies/6723e5453f21d.jpg;LOW;11.13;5.06
3953;CDB Banco BMG Pré-Fixado 15,13%;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.13;06/03/2030;13.34;15.13;BTG Pactual;Banco BMG;1;https://investidor10.com.br/storage/companies/66d9a94bc4c89.jpg;LOW;11.13;5.06
3949;CDB Banco BMG Pré-Fixado 15,28%;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.28;17/08/2028;13.31;15.28;BTG Pactual;Banco BMG;1;https://investidor10.com.br/storage/companies/66d9a94bc4c89.jpg;LOW;11.13;5.06
4029;CDB Banco Pine Pré-Fixado 15,40%;CDB;1;1;1000.57;Baixo;No Vencimento;CDI;PRE_FIXED;15.40;06/09/2027;13.29;15.40;Banco Inter;Banco Pine;1;https://investidor10.com.br/storage/companies/66d9a9b5e9301.jpg;LOW;11.13;5.06
4173;CDB PicPay Pré-Fixado 15,16%;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.16;14/03/2029;13.26;15.16;Bradesco;PicPay;1;https://investidor10.com.br/storage/companies/6723e5453f21d.jpg;LOW;11.13;5.06
4137;CDB Agibank Pré-Fixado 15,25%;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.25;13/03/2028;13.23;15.25;Nubank;Banco Agibank;1;https://investidor10.com.br/storage/companies/6723e55fc7db5.jpg;LOW;11.13;5.06
4169;CDB Qista Pré-Fixado 15,40%;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.40;15/03/2027;13.23;15.40;Bradesco;Qista S.A.;1;https://investidor10.com.br/storage/companies/6720e24f2160f.jpg;LOW;11.13;5.06
3954;CDB Banco BMG Pré-Fixado 15,12%;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.12;05/03/2029;13.23;15.12;BTG Pactual;Banco BMG;1;https://investidor10.com.br/storage/companies/66d9a94bc4c89.jpg;LOW;11.13;5.06
3927;CDB Banco BMG Pré-Fixado 15,24%;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;PRE_FIXED;15.24;06/03/2028;13.22;15.24;BTG Pactual;Banco BMG;1;https://investidor10.com.br/storage/companies/66d9a94bc4c89.jpg;LOW;11.13;5.06
